image,ticker,date,slot,y_open,y_high,y_low,y_close,y_volume,window_min,window_max,vol_max,split
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-17_s02.png,ADA_USD,2025-09-17,2,0.6714571005550907,0.9999996709137784,0.6223978556388774,0.6848326149720935,0.9999999999999998,0.856048047542572,0.8864352107048035,68263040.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-19_s04.png,ADA_USD,2025-09-19,4,0.03346952754340583,0.3010476662786029,0.03346952754340583,0.11907770532965632,0.317346240561886,0.8952683806419373,0.9377757906913756,172475136.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-14_s01.png,ADA_USD,2025-09-14,1,0.37171413703066347,0.37653883070914723,0.0,0.27243712724229147,0.04432273468060875,0.911922574043274,0.9522709846496582,297275520.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-05_s06.png,ADA_USD,2025-11-05,6,0.9492007467271292,0.9999998163455235,0.8879301023130283,0.9147461349045425,0.19024795138046233,0.4944241940975189,0.5488742589950562,198315008.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-03_s01.png,ADA_USD,2025-11-03,1,0.4281907357481895,0.4368013214827478,0.0,0.031097343209010038,1.0,0.5715633034706116,0.618053138256073,148079424.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-10-09_s01.png,ADA_USD,2025-10-09,1,0.04977683062292861,0.38225697848490436,0.04977683062292861,0.25412565539873044,0.11130283943793091,0.8128668665885925,0.8453329801559448,70395904.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-10-06_s05.png,ADA_USD,2025-10-06,5,0.6789834658457147,0.9999997933560885,0.671822398707836,0.975441052788121,1.0,0.830327570438385,0.8787199854850769,193490432.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-11_s01.png,ADA_USD,2025-09-11,1,0.7787268926468944,0.9999995651725421,0.5926556893832479,0.6847776908151849,0.9999999999999998,0.8709854483604431,0.8939830660820007,83389568.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-10-24_s04.png,ADA_USD,2025-10-24,4,0.5880294856177481,0.9999994771501113,0.327284171936012,0.3639396002900372,0.9999999999999999,0.6390283107757568,0.6581542491912842,100006400.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-19_s01.png,ADA_USD,2025-09-19,1,0.6811710639391534,0.8255731892802709,0.27153733287400306,0.4300616258389376,0.29642468581674286,0.9010435342788696,0.9377757906913756,172475136.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-20_s01.png,ADA_USD,2025-09-20,1,0.312836884895528,0.428126146426379,0.19347086668829014,0.428126146426379,0.027296035680763,0.88744056224823,0.916038453578949,60956544.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-05_s02.png,ADA_USD,2025-11-05,2,0.6935900922131036,0.7198940811514303,0.5445197914690041,0.5757392253595665,0.004806282850209144,0.4944241940975189,0.5511374473571777,262403200.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-01_s00.png,ADA_USD,2025-11-01,0,0.4671217843730474,0.4991996288043356,0.24275324858583266,0.41786499236419145,0.25821808230230064,0.6004103422164917,0.6189971566200256,27922816.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-03_s05.png,ADA_USD,2025-11-03,5,0.5198111938442695,0.5198111938442695,0.0,0.3535810944472176,1.0,0.5416073799133301,0.6109230518341064,382162176.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-07_s01.png,ADA_USD,2025-11-07,1,0.7102674096132386,0.9999996176944924,0.6858600568580946,0.9999996176944924,0.8545975269880223,0.5190049409866333,0.5451620221138,51531008.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-02_s02.png,ADA_USD,2025-11-02,2,0.7600107346541322,0.9999990961193,0.6179895606372213,0.6179895606372213,0.7799122594762917,0.6069897413253784,0.618053138256073,15208480.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-30_s00.png,ADA_USD,2025-09-30,0,0.6726463693109729,0.6816783497981779,0.327715845617495,0.3925404641538978,0.32411088020706824,0.7899749875068665,0.8149598836898804,149395392.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-22_s00.png,ADA_USD,2025-09-22,0,0.6728294286963443,0.7137580460818894,0.0,0.05763584917279276,1.0,0.8499945998191833,0.902324080467224,345964928.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-03_s02.png,ADA_USD,2025-11-03,2,0.07545491103214463,0.21898930583328235,0.0,0.20120581742186938,0.7484727115091966,0.5692821145057678,0.6156861782073975,148079424.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-20_s00.png,ADA_USD,2025-09-20,0,0.07979732020460341,0.22910691237114922,0.07151365008304068,0.20314734205735102,0.07361677197447414,0.88744056224823,0.9313687086105348,60956544.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-10_s00.png,ADA_USD,2025-09-10,0,0.24271901535297655,0.9999994480237823,0.0,0.905009567967514,0.9999999999999993,0.8606299757957458,0.8787466883659363,14897408.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-11-08_s01.png,ADA_USD,2025-11-08,1,0.9112416801282455,0.9855665016471331,0.8265994781529186,0.8265994781529186,0.1754351086814422,0.5208719968795776,0.5914682745933533,165468544.0,train
C:\Users\LOQ\Desktop\MINI-PROJECT\miniproj\images\ADA_USD_2025-09-11_s03.png,ADA_USD,2025-09-11,3,0.6085830324079582,0.7896427913831936,0.4601888963204775,0.4601888963204775,0.6932420131976219,0.8742545247077942,0.8939830660820007,83389568.0,train
